timestamp,object
16:09:21,chair
16:09:21,person
16:09:21,glasses
16:09:21,person
16:09:21,glasses
16:09:21,person
16:09:21,glasses
16:09:22,chair
16:09:22,person
16:09:22,glasses
16:09:22,chair
16:09:22,person
16:09:22,glasses
16:09:23,person
16:09:23,glasses
16:09:23,chair
16:09:23,person
16:09:23,glasses
16:09:24,person
16:09:24,glasses
16:09:24,person
16:09:24,glasses
16:09:24,chair
16:09:24,person
16:09:24,glasses
16:09:25,person
16:09:25,glasses
16:09:25,person
16:09:25,glasses
16:09:26,person
16:09:26,glasses
16:09:26,person
16:09:26,glasses
16:09:27,person
16:09:27,glasses
16:09:27,person
16:09:27,glasses
16:09:27,person
16:09:27,glasses
16:09:28,person
16:09:28,glasses
16:09:28,person
16:09:28,glasses
16:09:29,person
16:09:29,glasses
16:09:29,person
16:09:29,glasses
16:09:30,person
16:09:30,glasses
16:09:30,person
16:09:30,glasses
16:09:30,person
16:09:30,glasses
16:09:31,person
16:09:31,glasses
16:09:31,person
16:09:31,glasses
16:09:32,person
16:09:32,glasses
16:09:32,person
16:09:32,glasses
16:09:33,person
16:09:33,glasses
16:09:33,person
16:09:33,glasses
16:09:33,person
16:09:33,glasses
16:09:34,person
16:09:34,glasses
16:09:34,person
16:09:34,glasses
16:09:34,person
16:09:34,glasses
16:09:35,person
16:09:35,glasses
16:09:35,person
16:09:35,glasses
16:09:36,person
16:09:36,glasses
16:09:36,person
16:09:36,glasses
16:09:36,person
16:09:36,glasses
16:09:37,person
16:09:37,glasses
16:09:37,person
16:09:37,glasses
16:09:37,person
16:09:37,glasses
16:09:38,person
16:09:38,glasses
16:09:38,person
16:09:38,glasses
16:09:39,person
16:09:39,glasses
16:09:39,person
16:09:39,glasses
16:09:40,person
16:09:40,glasses
16:09:40,person
16:09:40,glasses
16:09:40,person
16:09:41,person
16:09:41,glasses
16:09:41,person
16:09:41,glasses
16:09:42,person
16:09:42,glasses
16:09:42,person
16:09:42,glasses
16:09:42,person
16:09:42,glasses
16:09:43,person
16:09:43,glasses
16:09:43,person
16:09:43,glasses
16:09:43,person
16:09:43,glasses
16:09:44,person
16:09:44,glasses
16:09:44,person
16:09:44,glasses
16:09:45,person
16:09:45,glasses
16:09:45,person
16:09:45,glasses
16:09:45,person
16:09:45,glasses
16:09:46,person
16:09:46,glasses
16:09:46,person
16:09:46,glasses
16:09:47,person
16:09:47,glasses
16:09:47,person
16:09:47,glasses
16:09:48,person
16:09:48,glasses
16:09:48,person
16:09:48,glasses
16:09:48,person
16:09:48,glasses
16:09:49,person
16:09:49,glasses
16:09:49,person
16:09:49,glasses
